Blanked feature,Mean,Max,Min,StdDev
-1,189.67126598358155,361.27188110351562,13.451562881469727,93.898066333590478
0,140.4215783083439,290.77188110351562,-42.46875,81.08452941104504
1,371.87020477294919,448.99374389648438,214.3671875,45.209780190844192
2,125.0847342991829,226.51718139648438,-132.28202819824219,74.902981321473689
3,144.77637465715409,328.73593139648438,-131.58358764648438,91.08812085176757
4,307.02721878051756,435.99688720703125,85.372657775878906,87.466415715097241
5,179.24046837806702,376.34063720703125,-105.65781402587891,117.23421664206012
6,159.45899971008302,380.13906860351562,-61.035938262939453,63.045138069091614
7,164.76378099441527,381.71875,-134.31640625,111.42142513663919
8,162.79579568862914,371.203125,-183.83358764648438,108.05195395395697
9,129.13520310401915,318.10626220703125,-32.057811737060547,86.61022869096729
10,170.46739036560058,285.84140014648438,-89.038284301757812,92.361954965074375
11,257.33584335327146,403.37579345703125,37.0390625,89.957187777684467
12,237.61490474700929,368.43203735351562,5.0265626907348633,121.0154551159426
13,220.40875327110291,397.66326904296875,-24.821094512939453,135.48678670549765
14,157.48370399475098,338.87188720703125,45.61328125,56.299343891445851
15,43.696864500045777,316.13906860351562,-265.75155639648438,85.073545279896166
16,246.35892127990724,379.84844970703125,-54.935157775878906,121.75123358062626
17,264.14104568481446,408.63125610351562,106.89140319824219,77.349244755325032
18,288.42598602294925,380.13906860351562,155.0546875,57.359819979139097
19,282.11444442749024,415.9296875,106.35624694824219,82.549481661100984
20,213.78428222656251,399.50860595703125,-154.1015625,103.39218281113033
21,245.64762584686278,410.96640014648438,-58.424999237060547,110.52248249767025
22,274.30190536499026,408.93280029296875,95.435157775878906,96.293316304368631
23,-75.166687946319584,300.38983154296875,-285.77655029296875,120.6019278487515
24,169.35621801853179,430.96563720703125,-55.959373474121094,114.85931572515391
25,228.73732719421386,425.8828125,-42.844532012939453,95.10543106438918
26,324.90563952445984,413.62420654296875,2.5570311546325684,68.683829161924805
27,139.3751258277893,222.6015625,-16.280467987060547,57.964976688686271
28,330.06776519775389,418.49139404296875,121.53593444824219,70.778833288452418
29,-126.48954553604126,349.83438110351562,-418.12225341796875,247.46996532946446
30,327.13602996826171,452.31170654296875,94.9453125,80.141044602272146
31,220.22493785858154,430.45156860351562,-51.241405487060547,109.65951699811841
32,324.32496337890626,384.93438720703125,191.9296875,35.816964601357668
33,226.05062530517577,390.12265014648438,51.009376525878906,59.453722770453055
34,133.15478193283082,324.65390014648438,-82.36328125,95.614935330032878
35,185.56135787963868,254.31718444824219,103.4453125,32.728521342222543
