Blanked,Mean,Max,Min,StdDev
-1,179.36140632629395,350.92733764648438,-47.7109375,114.39163512540347
feat=0_stripe=0,161.59906234741212,271.55548095703125,66.893753051757812,74.630870478755014
feat=0_stripe=1,165.24937705993653,322.56875610351562,63.956249237060547,64.17709106922068
feat=0_stripe=2,131.68875160217286,341.03750610351562,-47.09375,108.63355840910332
feat=10_stripe=0,158.66734504699707,318.3828125,54.8125,90.824530053052968
feat=10_stripe=1,273.33796997070311,372.92657470703125,79.87890625,99.199780067942072
feat=10_stripe=2,251.71585845947266,352.015625,140.81953430175781,74.248093396203942
feat=10_stripe=3,214.3014087677002,327.84686279296875,38.590625762939453,97.71600076216879
feat=10_stripe=4,186.87007904052734,309.48828125,132.98359680175781,57.759032193134324
feat=5_stripe=0,197.37507781982421,329.88125610351562,120.65156555175781,68.546921129704984
feat=5_stripe=1,167.78437538146972,295.56094360351562,-29.0703125,95.496109666110982
feat=5_stripe=2,189.16046943664551,327.02890014648438,41.311717987060547,102.8638355212707
feat=5_stripe=3,213.31671829223632,356.67578125,-41.710155487060547,128.14259911526813
feat=5_stripe=4,102.05117225646973,182.5703125,-34.5078125,59.948567377705409
feat=6_stripe=0,165.44140739440917,341.86563110351562,-134.22969055175781,137.07725430404113
feat=6_stripe=1,222.12805099487304,347.32266235351562,53.814064025878906,106.48282184494524
feat=6_stripe=2,264.0303894042969,377.71719360351562,182.78280639648438,67.506487929029774
feat=6_stripe=3,183.73101685047149,361.66250610351562,-1.3664062023162842,111.79706212698213
feat=6_stripe=4,211.67406339645385,363.65313720703125,-9.4562501907348633,114.800629781354
feat=7_stripe=0,305.7999237060547,381.78280639648438,194.64297485351562,49.061200845105105
feat=7_stripe=1,175.90890655517578,278.86874389648438,108.66874694824219,42.480046181917636
feat=7_stripe=2,188.66929731369018,307.70156860351562,-2.6484375,120.17011566963123
feat=7_stripe=3,277.91969146728513,383.38516235351562,167.43281555175781,77.01909782953112
feat=7_stripe=4,201.74577827453612,336.67889404296875,63.114063262939453,89.853511736130145
feat=8_stripe=0,162.07023487091064,380.80313110351562,12.037500381469727,108.08731952841678
feat=8_stripe=1,208.4203143119812,335.07110595703125,10.659375190734863,114.6599190577065
feat=8_stripe=2,173.61335802078247,334.24765014648438,-7.3914060592651367,93.419146656308541
feat=8_stripe=3,234.33086013793945,374.27499389648438,127.23671722412109,81.409851949719851
feat=8_stripe=4,191.69218940734862,326.08828735351562,-27.625782012939453,106.09405468999022
feat=9_stripe=0,195.14929656982423,339.58123779296875,-54.122657775878906,109.74810956774908
feat=9_stripe=1,202.93680114746093,303.52032470703125,63.6015625,71.914551477290829
feat=9_stripe=2,166.63687438964843,322.68594360351562,82.077346801757812,74.588878852496961
feat=9_stripe=3,208.78960938453673,349.26251220703125,4.3179688453674316,105.32385588500573
feat=9_stripe=4,252.18749923706054,320.99063110351562,117.22812652587891,72.373387199932665
